Time,Node,X,Y,ElectricField,MagneticField
0.03,97,0.777778,1,0,0
0.03,98,0.888889,1,0,0
0.03,99,1,1,0,0
0.04,0,0,0,0,0
0.04,1,0.111111,0,0,0
0.04,2,0.222222,0,0,0
0.04,3,0.333333,0,0,0
0.04,4,0.444444,0,0,0
0.04,5,0.555556,0,0,0
0.04,6,0.666667,0,0,0
0.04,7,0.777778,0,0,0
0.04,8,0.888889,0,0,0
0.04,9,1,0,0,0
0.04,10,0,0.111111,0,0
0.04,11,0.111111,0.111111,0,0
0.04,12,0.222222,0.111111,0,0
0.04,13,0.333333,0.111111,0,0
0.04,14,0.444444,0.111111,0,0
0.04,15,0.555556,0.111111,0,0
0.04,16,0.666667,0.111111,0,0
0.04,17,0.777778,0.111111,0,0
0.04,18,0.888889,0.111111,0,0
0.04,19,1,0.111111,0,0
0.04,20,0,0.222222,0,0
0.04,21,0.111111,0.222222,0,0
0.04,22,0.222222,0.222222,0,0
0.04,23,0.333333,0.222222,0,0
0.04,24,0.444444,0.222222,0,0
0.04,25,0.555556,0.222222,0,0
0.04,26,0.666667,0.222222,0,0
0.04,27,0.777778,0.222222,0,0
0.04,28,0.888889,0.222222,0,0
0.04,29,1,0.222222,0,0
0.04,30,0,0.333333,0,0
0.04,31,0.111111,0.333333,0,0
0.04,32,0.222222,0.333333,0,0
0.04,33,0.333333,0.333333,0,0
0.04,34,0.444444,0.333333,0,0
0.04,35,0.555556,0.333333,0,0
0.04,36,0.666667,0.333333,0,0
0.04,37,0.777778,0.333333,0,0
0.04,38,0.888889,0.333333,0,0
0.04,39,1,0.333333,0,0
0.04,40,0,0.444444,0,0
0.04,41,0.111111,0.444444,0,0
0.04,42,0.222222,0.444444,0,0
0.04,43,0.333333,0.444444,0,0
0.04,44,0.444444,0.444444,0,0
0.04,45,0.555556,0.444444,0,0
0.04,46,0.666667,0.444444,0,0
0.04,47,0.777778,0.444444,0,0
0.04,48,0.888889,0.444444,0,0
0.04,49,1,0.444444,0,0
0.04,50,0,0.555556,0,0
0.04,51,0.111111,0.555556,0,0
0.04,52,0.222222,0.555556,0,0
0.04,53,0.333333,0.555556,0,0
0.04,54,0.444444,0.555556,0,0
0.04,55,0.555556,0.555556,0,0
0.04,56,0.666667,0.555556,0,0
0.04,57,0.777778,0.555556,0,0
0.04,58,0.888889,0.555556,0,0
0.04,59,1,0.555556,0,0
0.04,60,0,0.666667,0,0
0.04,61,0.111111,0.666667,0,0
0.04,62,0.222222,0.666667,0,0
0.04,63,0.333333,0.666667,0,0
0.04,64,0.444444,0.666667,0,0
0.04,65,0.555556,0.666667,0,0
0.04,66,0.666667,0.666667,0,0
0.04,67,0.777778,0.666667,0,0
0.04,68,0.888889,0.666667,0,0
0.04,69,1,0.666667,0,0
0.04,70,0,0.777778,0,0
0.04,71,0.111111,0.777778,0,0
0.04,72,0.222222,0.777778,0,0
0.04,73,0.333333,0.777778,0,0
0.04,74,0.444444,0.777778,0,0
0.04,75,0.555556,0.777778,0,0
0.04,76,0.666667,0.777778,0,0
